index,image_link,entity_name
0,https://m.media-amazon.com/images/I/110EibNyclL.jpg,height
1,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,width
2,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,height
3,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,depth
4,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,depth
5,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,height
6,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,width
7,https://m.media-amazon.com/images/I/11lshEUmCrL.jpg,height
8,https://m.media-amazon.com/images/I/21+i52HRW4L.jpg,width
9,https://m.media-amazon.com/images/I/21-LmSmehZL.jpg,height
10,https://m.media-amazon.com/images/I/213oP6n7jtL.jpg,item_weight
